time,open,high,low,close,HH 2/2,LH 2/2,HL 2/2,LL 2/2,HH 5/5,LH 5/5,HL 5/5,LL 5/5,ВХОД,Запрет структуры,Запрет (буква),Против тренда,Против тренда (буква),Слом,Слом (буква),Заморозка,Заморозка (буква),Бол.свеча,Бол.свеча (буква),Нет RR,Нет RR (буква),Стоп-неделя,Фильтр БОК+LONG,Прочее
2026-08-20T14:05:00+03:00,4488.435,4488.49,4485.755,4487.285,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:10:00+03:00,4487.275,4487.635,4482.795,4485.23,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:15:00+03:00,4485.175,4485.81,4481.315,4482.505,,,,4481.315,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:20:00+03:00,4482.515,4487.71,4481.865,4487.71,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:25:00+03:00,4487.645,4489.9,4484.24,4484.315,,4489.9,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:30:00+03:00,4484.36,4486.07,4482.79,4485.1,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-08-20T14:35:00+03:00,4485.08,4486.985,4480.155,4481.845,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:40:00+03:00,4481.83,4482.825,4474.345,4474.965,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:45:00+03:00,4474.985,4475.785,4465.89,4471.275,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:50:00+03:00,4471.22,4473.125,4466.16,4467.18,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:55:00+03:00,4467.23,4471.435,4465.57,4467.175,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:00:00+03:00,4467.18,4467.43,4457.32,4458.32,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:05:00+03:00,4458.325,4459.45,4450.745,4457.15,,,,4450.745,,,,4450.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:10:00+03:00,4457.165,4466.415,4456.83,4462.64,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:15:00+03:00,4462.635,4467.485,4462.305,4467.09,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:20:00+03:00,4467.035,4467.945,4461.93,4464.005,,4467.945,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:25:00+03:00,4463.915,4464.015,4457.065,4459.86,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:30:00+03:00,4460.375,4461.145,4451.205,4453.485,,,4451.205,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:35:00+03:00,4453.45,4463.435,4451.92,4463.355,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
