тф,слой,счёт,точка,сторона,стоп,цель,сделок,EV,шум2s,EV_1половина,EV_2половина,n1,n2
1H,5/5,1,5,LONG,уровень,2R,44,0.4318,0.4570,-0.7273,1.5909,22,22
1H,5/5,1,5,SHORT,свеча,магнит,52,-0.3414,0.6318,0.1415,-0.8244,26,26
1H,5/5,1,5,SHORT,свеча,3R,52,-0.3077,0.4238,-0.0769,-0.5385,26,26
1H,5/5,1,5,SHORT,свеча,2R,52,-0.2500,0.3638,0.0385,-0.5385,26,26
1H,5/5,1,5,SHORT,колено,магнит,40,-0.2293,0.7286,0.3328,-0.7914,20,20
1H,5/5,1,5,SHORT,колено,3R,43,-0.5349,0.3957,-0.2727,-0.8095,22,21
1H,5/5,1,5,SHORT,колено,2R,43,-0.4419,0.3603,-0.3182,-0.5714,22,21
1H,5/5,1,1,LONG,уровень,магнит,69,0.2442,0.4963,1.0907,-0.1791,23,46
1H,5/5,1,2,LONG,уровень,магнит,86,0.0189,0.4059,0.2632,-0.2371,44,42
1H,5/5,1,4,LONG,колено,магнит,33,0.0249,0.6408,-0.3457,0.2659,13,20
1H,5/5,1,4,LONG,уровень,магнит,31,0.0911,0.6758,-0.2912,0.3325,12,19
1H,5/5,1,3,SHORT,уровень,магнит,4,2.2640,2.2096,-1.0000,3.3520,1,3
1H,5/5,1,3,SHORT,уровень,3R,13,-0.0769,0.9730,-1.0000,0.0000,1,12
1H,5/5,1,3,SHORT,уровень,2R,13,-0.0769,0.7994,-1.0000,0.0000,1,12
1H,5/5,-1,5,LONG,колено,магнит,21,0.0972,0.8838,-1.0000,0.3553,4,17
1H,5/5,-1,4,LONG,уровень,магнит,2,3.4787,0.6035,0.0000,3.4787,0,2
1H,5/5,-1,4,LONG,уровень,3R,2,3.0000,0.0000,0.0000,3.0000,0,2
1H,5/5,-1,4,LONG,уровень,2R,2,2.0000,0.0000,0.0000,2.0000,0,2
1H,5/5,-1,3,LONG,уровень,магнит,2,3.3637,0.4982,0.0000,3.3637,0,2
1H,5/5,-1,3,LONG,уровень,3R,2,3.0000,0.0000,0.0000,3.0000,0,2
1H,5/5,-1,3,LONG,уровень,2R,2,2.0000,0.0000,0.0000,2.0000,0,2
1H,2/2,-1,2,LONG,свеча,3R,194,-0.0103,0.2485,0.1667,-0.1837,96,98
1H,2/2,-1,2,LONG,свеча,2R,194,-0.0103,0.2031,0.0312,-0.0510,96,98
1H,2/2,-1,2,LONG,колено,3R,156,0.2308,0.2966,0.3333,0.1282,78,78
1H,2/2,-1,2,LONG,колено,2R,156,0.2308,0.2371,0.2308,0.2308,78,78
1H,2/2,-1,2,SHORT,свеча,3R,194,0.1753,0.2623,0.0833,0.2653,96,98
1H,2/2,-1,2,SHORT,свеча,2R,194,0.0515,0.2061,-0.0312,0.1327,96,98
1H,2/2,-1,2,SHORT,колено,3R,175,-0.0857,0.2547,-0.1628,-0.0112,86,89
1H,2/2,-1,2,SHORT,колено,2R,175,-0.0571,0.2112,-0.2674,0.1461,86,89
1H,2/2,-1,2,SHORT,уровень,3R,128,-0.2188,0.2814,-0.2500,-0.1875,64,64
1H,2/2,-1,2,SHORT,уровень,2R,128,-0.1562,0.2394,-0.3906,0.0781,64,64
1H,2/2,1,0,LONG,свеча,3R,304,0.0921,0.2048,0.1701,0.0191,147,157
1H,2/2,1,0,LONG,свеча,2R,304,0.0855,0.1656,0.1837,-0.0064,147,157
1H,2/2,1,0,LONG,колено,3R,294,0.4694,0.2253,0.3793,0.5570,145,149
1H,2/2,1,0,LONG,колено,2R,295,0.2814,0.1731,0.2207,0.3400,145,150
1H,2/2,1,0,SHORT,свеча,3R,304,0.0132,0.1999,0.0612,-0.0318,147,157
1H,2/2,1,0,SHORT,свеча,2R,304,-0.0132,0.1619,-0.0816,0.0510,147,157
1H,2/2,1,0,SHORT,колено,3R,194,-0.0928,0.2411,-0.0562,-0.1238,89,105
1H,2/2,1,0,SHORT,колено,2R,194,-0.0567,0.2005,0.0449,-0.1429,89,105
1H,2/2,1,0,SHORT,уровень,3R,66,-0.2121,0.3946,-0.5385,0.0000,26,40
1H,2/2,1,0,SHORT,уровень,2R,66,0.0000,0.3508,-0.0769,0.0500,26,40
1H,2/2,-1,1,LONG,свеча,3R,361,0.1524,0.1909,0.1667,0.1399,168,193
1H,2/2,-1,1,LONG,свеча,2R,361,0.0471,0.1507,0.0893,0.0104,168,193
1H,2/2,-1,1,LONG,колено,3R,349,0.3983,0.2045,0.3576,0.4348,165,184
1H,2/2,-1,1,LONG,колено,2R,350,0.1571,0.1563,0.1386,0.1739,166,184
1H,2/2,-1,1,SHORT,свеча,3R,361,-0.0249,0.1810,0.0238,-0.0674,168,193
1H,2/2,-1,1,SHORT,свеча,2R,361,-0.0526,0.1470,0.0000,-0.0984,168,193
1H,2/2,-1,1,SHORT,колено,магнит,210,0.1565,0.2781,0.1357,0.1774,105,105
1H,2/2,-1,1,SHORT,колено,3R,303,-0.0627,0.1950,-0.0897,-0.0380,145,158
1H,2/2,-1,1,SHORT,колено,2R,304,-0.1414,0.1558,-0.1370,-0.1456,146,158
1H,2/2,1,2,LONG,свеча,3R,270,-0.0370,0.2085,-0.1268,0.0625,142,128
1H,2/2,1,2,LONG,свеча,2R,270,-0.1111,0.1670,-0.1549,-0.0625,142,128
1H,2/2,1,2,LONG,колено,3R,254,0.3071,0.2359,0.2424,0.3770,132,122
1H,2/2,1,2,LONG,колено,2R,254,0.1220,0.1825,0.0227,0.2295,132,122
1H,2/2,1,2,SHORT,свеча,магнит,270,-0.0534,0.2443,-0.0067,-0.1052,142,128
1H,2/2,1,2,SHORT,свеча,3R,270,0.0074,0.2117,-0.0986,0.1250,142,128
1H,2/2,1,2,SHORT,свеча,2R,270,0.0333,0.1738,0.0141,0.0547,142,128
1H,2/2,1,2,SHORT,колено,магнит,179,-0.2536,0.2604,-0.1964,-0.3114,90,89
1H,2/2,1,2,SHORT,колено,3R,199,-0.2764,0.2189,-0.2941,-0.2577,102,97
1H,2/2,1,2,SHORT,колено,2R,200,-0.1450,0.1920,-0.0882,-0.2041,102,98
1H,2/2,1,2,LONG,уровень,3R,228,0.3158,0.2495,0.2542,0.3818,118,110
1H,2/2,1,2,LONG,уровень,2R,228,0.1447,0.1935,0.0424,0.2545,118,110
1H,2/2,1,3,LONG,свеча,3R,140,0.2571,0.3150,0.3151,0.1940,73,67
1H,2/2,1,3,LONG,свеча,2R,140,0.2214,0.2500,0.3973,0.0299,73,67
1H,2/2,1,3,LONG,колено,3R,128,0.7500,0.3522,1.0000,0.4839,66,62
1H,2/2,1,3,LONG,колено,2R,128,0.3828,0.2654,0.6364,0.1129,66,62
1H,2/2,1,3,LONG,уровень,3R,124,0.7742,0.3584,1.0625,0.4667,64,60
1H,2/2,1,3,LONG,уровень,2R,124,0.3790,0.2696,0.6406,0.1000,64,60
1H,2/2,1,3,SHORT,свеча,магнит,137,-0.4760,0.2601,-0.6327,-0.2972,73,64
1H,2/2,1,3,SHORT,свеча,3R,140,-0.4286,0.2374,-0.6164,-0.2239,73,67
1H,2/2,1,3,SHORT,свеча,2R,140,-0.2929,0.2160,-0.3836,-0.1940,73,67
1H,2/2,1,3,SHORT,колено,магнит,113,-0.3348,0.3180,-0.8639,0.2642,60,53
1H,2/2,1,3,SHORT,колено,3R,129,-0.4419,0.2450,-0.8154,-0.0625,65,64
1H,2/2,1,3,SHORT,колено,2R,129,-0.3256,0.2214,-0.5385,-0.1094,65,64
1H,2/2,1,4,LONG,свеча,3R,103,0.0485,0.3484,-0.3846,0.4902,52,51
1H,2/2,1,4,LONG,свеча,2R,103,-0.0680,0.2749,-0.4808,0.3529,52,51
1H,2/2,1,4,LONG,колено,3R,99,0.3737,0.3837,-0.0400,0.7959,50,49
1H,2/2,1,4,LONG,колено,2R,99,0.3333,0.3012,0.0800,0.5918,50,49
1H,2/2,1,4,LONG,уровень,3R,97,0.3196,0.3839,-0.0400,0.7021,50,47
1H,2/2,1,4,LONG,уровень,2R,97,0.2990,0.3034,0.0800,0.5319,50,47
1H,2/2,1,4,SHORT,свеча,магнит,103,-0.0606,0.4118,0.1174,-0.2421,52,51
1H,2/2,1,4,SHORT,свеча,3R,103,-0.1456,0.3246,0.0000,-0.2941,52,51
1H,2/2,1,4,SHORT,свеча,2R,103,0.0485,0.2833,0.3846,-0.2941,52,51
1H,2/2,1,4,SHORT,колено,магнит,69,-0.3613,0.3795,-0.1003,-0.7213,40,29
1H,2/2,1,4,SHORT,колено,3R,72,-0.2222,0.3758,0.0000,-0.5000,40,32
